Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1479422315472843,Igor Petrik,Sme rodina,145,1
109957008760663,Volím Pelleho,HLAS - sociálna demokracia,144,6
114481248400629,Flamingo Design Studio,These ads ran without a disclaimer,142,1
104932168863313,SkyShowtime,These ads ran without a disclaimer,142,2
121852557676697,Darina Luščíková • Progresívne Slovensko,Progresívne Slovensko,141,3
106742277534093,Monika Kavecká na strane sestier,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",140,2
110960838672051,SMER - SSD Šaľa,SMER - SD,140,5
114022154063401,Centrum vzdelávacích analýz,Centrum vzdelávacích analýz,139,15
494475540703563,Juraj Káčer,Juraj Káčer,137,7
169301250288663,Rasťo Mráz,KDH,134,11
101885812962862,Róbert Winkler - SOS,SOS - Spoločne Občania Slovenska,133,16
126819708065422,Ján Polakovič - poslanec MČ Rača - Spoločný Cieľ,Ján Polakovič - poslanec MČ Rača - Spoločný Cieľ,132,11
2131851353763717,Smart Consumer Institute,Inštitút moderného spotrebiteľa,131,4
100708224727843,Ing. Robert Tanczos • Sloboda a Solidarita,SLOVFLOW,129,2
118920697801104,Erik Mikurčík • Republika,Hnutie REPUBLIKA,129,4
359327906370,JRK Slovensko,JRK Slovensko s.r.o.,127,2
111252961056929,Milan Dubec,Milan Dubec,127,13
100913749294471,Martina Brisudová č. 53 OĽANO A priatelia,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",124,4
1547609242134506,Patrick Linhart poslanec,Patrick Linhart poslanec,122,5
330973187708540,MUDr. Jozef Baláž • KDH,KDH,120,5
102648462152640,Capital FP,"Media Creative Production, spol. s r.o.",120,2
112637573907023,Roman Malatinec - HLAS sociálna demokracia,HLAS - sociálna demokracia,120,9
107436234138591,"Marcel Mihalik - poslanec NR SR, OĽANO","OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",119,3
120808734324525,Dar Pre Ukrajinu,Dar Pre Ukrajinu o.z.,119,2
105947448512401,Iniciatíva za dobré vzťahy,Iniciatíva za dobré vzťahy,116,2
214076798619567,Cyklokoalícia,Cyklokoalícia,114,6
522186401540084,Magyar Fórum - Maďarské fórum,Magyar Fórum - Maďarské fórum,112,21
215732525144935,Coffeein - Slovenská pražiareň kávy,These ads ran without a disclaimer,112,1
635476236633895,Nakupovanie s Potravinovým Kritikom,Nakupovanie s Potravinovým Kritikom,111,7
910805025660545,Svet MMA,Sloboda a Solidarita,109,2
107612849000660,Marek Blaškovič,Sme rodina,109,1
1893292664316490,Stanislav Striženec • 95 • KDH,KDH,106,12
371645939558021,RMPK - Rada mládeže Prešovského kraja,RMPK - Rada mládeže Prešovského kraja,106,4
121629274662584,Hidepark Nitra,Hidepark Nitra,104,4
1417693954961034,Nario,These ads ran without a disclaimer,102,4
484734501561007,Kaufland Slovenská republika,These ads ran without a disclaimer,102,2
