region,name,link,title
BA,Ján Rigler,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_RiglerJan.pdf,"Ján Rigler (PDF, 426 kB)"
BA,Juraj Říha,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_RihaJuraj.pdf,"Juraj Říha (PDF, 800 kB)"
BA,Jaroslav Sedlák,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_SedlakJaroslav.pdf,"Jaroslav Sedlák (PDF, 398 kB)"
BA,Peter Strapák,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_StrapakPeter.pdf,"Peter Strapák (PDF, 723 kB)"
BA,Michal Svátek,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_SvatekMichal.pdf,"Michal Svátek (PDF, 700 kB)"
BA,Róbert Šegeda,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_SegedaRobert.pdf,"Róbert Šegeda (PDF, 810 kB)"
BA,Adam Šipoš,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_SiposAdam.pdf,"Adam Šipoš (PDF, 852 kB)"
BA,Radoslav Števčík,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_StevcikRadoslav.pdf,"Radoslav Števčík (PDF, 747 kB)"
BA,Ivor Švihran,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_SvihranIvor.pdf,"Ivor Švihran (PDF, 1 MB)"
BA,Peter Trojna,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_TrojnaPeter.pdf,"Peter Trojna (PDF, 130 kB)"
BA,Miroslav Turenič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_TurenicMiroslav.pdf,"Miroslav Turenič (PDF, 868 kB)"
